Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_PPDA,Away_PPDA
26/11/18,Sociedad,Celta,2,1,H,1,0,H,Mario Melero,15,6,8,2,12,14,6,2,2,2,0,0,1.85,3.75,4.2,12.625,13.286
30/11/18,Vallecano,Eibar,1,0,H,0,0,D,Alberto Undiano,5,13,2,5,15,12,1,4,5,3,0,0,3.1,3.3,2.3,9.0,3.27
01/12/18,Celta,Huesca,2,0,H,1,0,H,Adrián Cordero,12,8,5,3,14,14,4,4,2,3,0,0,1.64,4.0,5.0,4.655,9.885
01/12/18,Getafe,Espanol,3,0,H,0,0,D,Antonio Matéu Lahoz,14,8,5,2,17,16,7,4,3,2,0,0,2.4,2.87,3.4,8.464,5.5
01/12/18,Real Madrid,Valencia,2,0,H,1,0,H,José González,13,7,3,2,11,10,2,2,1,3,0,0,1.44,4.75,7.0,10.481,17.36
01/12/18,Valladolid,Leganes,2,4,A,0,2,A,David Medié,20,14,6,5,5,13,6,5,0,3,0,0,2.37,3.1,3.3,7.947,20.312
02/12/18,Alaves,Sevilla,1,1,D,1,0,H,José Sánchez,11,14,3,3,21,14,2,5,3,3,0,0,3.6,3.6,2.0,6.263,7.28
02/12/18,Barcelona,Villarreal,2,0,H,1,0,H,José Luis Munuera,16,12,7,2,9,17,11,1,2,4,0,0,1.25,6.5,11.0,11.174,14.522
02/12/18,Betis,Sociedad,1,0,H,1,0,H,Guillermo Cuadra,6,6,4,4,18,18,6,4,4,2,0,0,2.2,3.3,3.4,7.03,11.269
02/12/18,Girona,Ath Madrid,1,1,D,1,0,H,Ricardo de Burgos,13,17,3,3,8,16,2,9,0,5,0,0,5.5,3.4,1.75,15.5,9.448
03/12/18,Levante,Ath Bilbao,3,0,H,1,0,H,Santiago Jaime,17,12,7,3,11,15,2,6,3,5,0,1,2.75,3.4,2.54,9.28,5.576
07/12/18,Leganes,Getafe,1,1,D,0,1,A,Pablo González,17,6,5,2,12,13,7,2,1,2,1,0,2.62,2.9,3.0,4.346,14.053
08/12/18,Ath Madrid,Alaves,3,0,H,1,0,H,Alejandro Hernández,12,13,5,3,20,15,5,5,5,4,0,0,1.36,4.5,10.0,6.407,7.053
08/12/18,Espanol,Barcelona,0,4,A,0,3,A,Carlos del Cerro,15,17,3,9,16,10,11,4,1,0,0,0,6.5,4.33,1.5,11.03,9.48
08/12/18,Valencia,Sevilla,1,1,D,0,0,D,Daniel Ask,16,11,6,3,13,17,6,4,0,4,0,0,2.2,3.5,3.2,7.655,13.529
08/12/18,Villarreal,Celta,2,3,A,0,1,A,Jesús Gil,13,14,3,7,12,10,6,1,3,3,0,0,1.72,3.8,4.75,9.259,13.0
09/12/18,Betis,Vallecano,2,0,H,0,0,D,Juan Martínez,8,12,3,3,13,20,2,9,2,3,0,0,1.53,4.33,6.0,7.462,11.633
09/12/18,Eibar,Levante,4,4,D,1,2,A,Hsu Jason,32,14,7,5,11,7,12,3,2,2,0,0,1.75,3.8,4.5,4.75,19.0
09/12/18,Huesca,Real Madrid,0,1,A,0,1,A,Mario Melero,11,5,4,4,12,10,11,6,2,2,0,0,10.0,5.5,1.3,8.088,10.476
09/12/18,Sociedad,Valladolid,1,2,A,0,1,A,Ignacio Iglesias,23,10,5,6,9,16,11,6,2,2,0,0,1.61,3.6,6.5,6.333,12.037
10/12/18,Ath Bilbao,Girona,1,0,H,0,0,D,Eduardo Prieto,25,3,10,1,17,15,11,0,3,1,0,0,1.95,3.4,4.0,7.838,16.167
14/12/18,Celta,Leganes,0,0,D,0,0,D,José Luis Munuera,15,5,2,2,11,11,10,0,3,3,0,0,1.85,3.5,4.33,4.227,35.308
15/12/18,Eibar,Valencia,1,1,D,0,1,A,Adrián Cordero,18,11,6,4,11,15,4,2,0,1,0,0,2.7,3.2,2.7,7.8,12.471
15/12/18,Getafe,Sociedad,1,0,H,1,0,H,Santiago Jaime,9,9,2,4,24,14,2,3,3,4,0,0,2.25,3.1,3.5,8.952,3.478
15/12/18,Real Madrid,Vallecano,1,0,H,1,0,H,Ricardo de Burgos,9,11,4,3,15,18,4,4,0,3,0,0,1.14,9.0,15.0,5.41,20.957
15/12/18,Valladolid,Ath Madrid,2,3,A,0,2,A,Alberto Undiano,8,14,2,5,16,13,9,3,4,1,0,0,5.75,3.4,1.72,6.188,10.6
16/12/18,Espanol,Betis,1,3,A,1,1,D,José Sánchez,10,12,3,5,23,10,0,4,3,4,0,0,2.4,3.3,3.0,7.25,8.053
16/12/18,Huesca,Villarreal,2,2,D,1,0,H,David Medié,30,10,13,5,12,11,13,2,4,5,0,1,3.5,3.2,2.14,7.64,21.7
16/12/18,Levante,Barcelona,0,5,A,0,2,A,José González,20,16,6,9,12,9,15,3,2,3,1,0,9.0,6.5,1.25,15.917,7.148
16/12/18,Sevilla,Girona,2,0,H,0,0,D,Guillermo Cuadra,17,8,5,2,18,12,5,3,2,1,0,0,1.44,4.5,7.0,10.739,8.846
17/12/18,Alaves,Ath Bilbao,0,0,D,0,0,D,Antonio Matéu Lahoz,11,6,2,3,16,13,5,3,2,2,0,0,3.0,3.2,2.5,8.087,5.182
21/12/18,Girona,Getafe,1,1,D,0,0,D,Hsu Jason,12,5,4,2,9,13,4,1,1,2,0,0,2.62,3.0,2.9,5.522,10.649
21/12/18,Sociedad,Alaves,0,1,A,0,1,A,Daniel Ask,18,9,4,3,14,11,10,1,2,4,0,0,1.75,3.5,5.0,4.31,13.391
22/12/18,Ath Bilbao,Valladolid,1,1,D,1,0,H,José Sánchez,8,5,3,2,25,12,3,1,3,2,0,0,1.75,3.4,5.0,10.032,14.769
22/12/18,Ath Madrid,Espanol,1,0,H,0,0,D,Mario Melero,8,18,5,4,16,13,5,9,1,1,0,0,1.4,4.0,10.0,10.862,6.619
