Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
13/12/15,Ath Madrid,Ath Bilbao,2,1,H,1,1,D,Juan Martínez,8,10,4,5,13,10,3,6,1,1,0,0,1.57,3.75,7.0
13/12/15,Eibar,Valencia,1,1,D,1,0,H,José González,14,6,5,1,20,14,9,2,4,4,1,1,2.45,3.2,3.0
13/12/15,Vallecano,Malaga,1,2,A,1,0,H,Carlos Clos Gómez,13,15,3,5,13,17,6,7,1,2,0,0,2.3,3.25,3.25
13/12/15,Villarreal,Real Madrid,1,0,H,1,0,H,Alberto Undiano,7,20,3,1,11,9,3,9,2,2,0,0,5.0,4.2,1.65
19/12/15,Betis,Sevilla,0,0,D,0,0,D,Carlos Clos Gómez,12,8,0,2,23,19,8,8,7,5,0,0,3.75,3.5,2.0
19/12/15,Espanol,Las Palmas,1,0,H,0,0,D,Mario Melero,12,9,2,4,29,21,7,5,4,4,0,0,2.05,3.4,3.75
19/12/15,La Coruna,Eibar,2,0,H,1,0,H,Daniel Ask,13,13,3,1,10,11,9,8,0,2,1,0,2.0,3.3,4.0
19/12/15,Valencia,Getafe,2,2,D,2,2,D,David Fernández,12,9,7,3,13,20,5,1,2,6,0,0,1.67,3.75,5.5
20/12/15,Ath Bilbao,Levante,2,0,H,0,0,D,Alejandro Hernández,18,6,7,1,15,17,10,3,0,5,0,0,1.4,4.5,9.0
20/12/15,Granada,Celta,0,2,A,0,2,A,Juan Martínez,11,10,1,4,17,11,9,3,4,2,0,0,3.2,3.3,2.3
20/12/15,Malaga,Ath Madrid,1,0,H,0,0,D,Antonio Matéu Lahoz,17,6,4,3,9,13,4,1,3,4,0,1,5.25,3.5,1.75
20/12/15,Real Madrid,Vallecano,10,2,H,4,2,H,Ignacio Iglesias,30,9,15,4,12,12,10,4,1,2,0,2,1.1,11.0,21.0
20/12/15,Sociedad,Villarreal,0,2,A,0,1,A,Carlos del Cerro,16,7,2,5,12,21,9,1,2,1,0,0,2.4,3.2,3.1
30/12/15,Barcelona,Betis,4,0,H,2,0,H,Iñaki Bikandi,16,11,7,4,16,20,2,3,1,3,0,0,1.06,13.0,26.0
30/12/15,Celta,Ath Bilbao,0,1,A,0,0,D,Pedro Pérez,7,13,3,5,11,11,3,3,3,4,0,0,2.38,3.3,2.9
30/12/15,Eibar,Sp Gijon,2,0,H,0,0,D,Carlos Velasco,16,6,5,0,16,17,5,7,3,3,0,0,1.85,3.5,4.2
30/12/15,Getafe,La Coruna,0,0,D,0,0,D,Alberto Undiano,15,10,5,3,9,8,9,2,3,1,0,0,2.5,3.2,2.88
30/12/15,Las Palmas,Granada,4,1,H,1,0,H,Santiago Jaime,7,11,4,4,5,21,4,4,2,5,0,1,2.0,3.3,3.75
30/12/15,Levante,Malaga,0,1,A,0,0,D,Jesús Gil,7,9,1,5,20,12,6,5,7,5,0,0,2.75,3.0,2.75
30/12/15,Real Madrid,Sociedad,3,1,H,1,0,H,José González,23,13,13,2,12,9,13,2,1,4,0,0,1.1,10.0,19.0
30/12/15,Sevilla,Espanol,2,0,H,2,0,H,Ignacio Iglesias,15,12,10,1,15,16,6,6,3,3,0,0,1.4,4.75,7.0
30/12/15,Vallecano,Ath Madrid,0,2,A,0,0,D,José Sánchez,10,17,3,6,12,15,3,8,3,3,0,0,6.5,3.8,1.53
31/12/15,Villarreal,Valencia,1,0,H,0,0,D,Alfonso Álvarez,9,6,3,2,21,19,3,6,1,3,0,0,1.8,3.5,4.5
02/01/16,Ath Madrid,Levante,1,0,H,0,0,D,Carlos Clos Gómez,16,9,2,1,12,14,13,1,0,4,0,0,1.2,6.5,17.0
02/01/16,Espanol,Barcelona,0,0,D,0,0,D,José González,4,10,1,2,22,10,6,10,5,3,0,0,14.0,7.0,1.2
02/01/16,Malaga,Celta,2,0,H,2,0,H,Iñaki Bikandi,14,8,4,1,22,11,5,2,4,2,0,1,2.4,3.3,3.0
03/01/16,Ath Bilbao,Las Palmas,2,2,D,1,0,H,Carlos del Cerro,16,11,5,5,24,13,5,5,3,4,0,0,1.36,5.0,8.5
03/01/16,Betis,Eibar,0,4,A,0,2,A,Eduardo Prieto,9,6,5,5,16,14,6,2,4,3,0,0,2.4,3.25,3.1
03/01/16,Granada,Sevilla,2,1,H,2,1,H,Alberto Undiano,9,14,4,7,17,13,2,9,2,2,0,1,4.33,3.6,1.85
03/01/16,La Coruna,Villarreal,1,2,A,0,1,A,David Fernández,11,6,4,4,13,11,9,3,3,3,0,0,2.7,3.2,2.7
03/01/16,Valencia,Real Madrid,2,2,D,1,1,D,José Sánchez,11,17,4,4,18,17,4,7,1,1,0,1,6.0,4.33,1.53
03/01/16,Vallecano,Sociedad,2,2,D,1,1,D,Antonio Matéu Lahoz,12,15,5,7,15,11,7,7,3,3,0,0,2.63,3.3,2.75
04/01/16,Sp Gijon,Getafe,1,2,A,1,0,H,Daniel Ask,17,11,4,2,13,14,4,2,3,3,0,0,2.25,3.3,3.3
09/01/16,Barcelona,Granada,4,0,H,2,0,H,Carlos Velasco,17,8,8,4,14,19,7,0,1,4,0,0,1.05,15.0,34.0
