Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,Season,Home_EMA_Points,Home_EMA_GS,Home_EMA_GC,Away_EMA_Points,Away_EMA_GS,Away_EMA_GC,Home_Expected_Offense,Away_Expected_Offense,Target
2015-11-01,Betis,Ath Bilbao,1,3,A,11,23,3,9,7,9,15-16,1.2447797591830516,1.1835086114921507,1.3670172229843014,1.853223593964335,2.08641975308642,0.9632677945435151,0.0,0.0,0
2015-11-01,Eibar,Vallecano,1,0,H,12,6,1,2,2,6,15-16,1.0361225422953821,1.2383782959914649,1.5794848346288677,1.3682365493065083,1.8468221307727481,1.9158664837677186,0.0,0.0,2
2015-11-01,Espanol,Granada,1,1,D,10,9,4,5,5,6,15-16,1.112940100594422,1.070873342478281,2.136716963877458,0.7622313671696388,1.2554488645023625,1.7126962353299804,0.0,0.0,1
2015-11-01,Sp Gijon,Malaga,1,0,H,8,13,6,5,7,5,15-16,0.856881572930956,1.2592592592592595,2.26108824874257,1.611492150586801,1.1111111111111112,0.944063404968755,0.0,0.0,2
2015-11-06,Las Palmas,Sociedad,2,0,H,8,11,4,6,0,8,15-16,0.38642483361276236,0.545496113397348,2.0356144896611292,0.9032159731748212,1.84453589391861,1.6998933089468071,0.0,0.0,2
2015-11-07,Vallecano,Granada,2,1,H,7,8,2,2,4,1,15-16,0.9121576995376723,1.231214753848499,1.610577655845146,0.8414875781130926,1.170299243001575,1.4751308235533203,0.0,0.0,2
2015-11-07,Levante,La Coruna,1,1,D,15,9,5,5,9,5,15-16,0.3727074124879339,0.2613422750596963,2.807244830564447,1.0070111263526904,1.1437788954935735,1.3370421175633798,0.0,0.0,1
2015-11-07,Malaga,Betis,0,1,A,12,7,5,2,6,3,15-16,1.0743281003912009,0.7407407407407408,0.9627089366458367,0.8298531727887012,1.1223390743281005,1.9113448153228676,0.0,0.0,0
2015-11-07,Celta,Valencia,1,5,A,17,9,3,5,15,5,15-16,1.9650967840268256,1.9680434893054923,1.7050246405527614,1.7687852461515017,1.8637910887567954,0.7976426357770666,0.0,0.0,0
2015-11-07,Eibar,Getafe,3,1,H,16,10,7,4,5,7,15-16,1.6907483615302548,1.15891886399431,1.0529898897525787,0.8285322359396436,0.8519026571152774,1.9761215261901133,0.0,0.0,2
2015-11-08,Ath Bilbao,Espanol,2,1,H,8,5,2,1,4,5,15-16,2.2354823959762236,2.3909465020576137,0.97551186302901,1.0752934003962813,1.0472488949855208,1.757811309251639,0.0,0.0,2
2015-11-08,Ath Madrid,Sp Gijon,1,0,H,15,9,3,2,5,1,15-16,1.8797439414723367,1.4036986231773614,0.7591830513641213,1.5712543819539708,1.1728395061728398,1.5073921658283802,0.0,0.0,2
2015-11-08,Barcelona,Villarreal,3,0,H,20,5,9,2,7,2,15-16,2.57201646090535,2.543514708123762,1.006249047401311,1.7627902250673173,1.1359040796626532,0.8161865569272977,0.0,0.0,2
2015-11-08,Sevilla,Real Madrid,3,2,H,14,28,5,10,4,6,15-16,1.354163491337703,2.0364273738759335,1.2501143118427072,2.6187573032566176,2.5090179342579892,0.6982167352537724,0.0,0.0,2
2015-11-21,Real Madrid,Barcelona,0,4,A,13,18,7,7,10,4,15-16,1.7458382021710785,2.339345289505326,1.465477823502515,2.7146776406035666,2.695676472082508,0.6708326982675408,0.0,0.0,0
2015-11-21,Valencia,Las Palmas,1,1,D,9,18,3,7,1,8,15-16,2.1791901641010014,2.909194059171197,0.8650950905180445,1.2576165557418415,1.0303307422648986,1.357076326440753,0.0,0.0,1
2015-11-21,Espanol,Malaga,2,0,H,7,14,3,5,3,8,15-16,0.7168622669308543,1.0314992633236806,1.8385408728344261,0.716218733594134,0.49382716049382724,0.9751392910972245,0.0,0.0,2
2015-11-21,La Coruna,Celta,2,0,H,5,6,2,4,2,10,15-16,1.004674084235127,1.0958525969957158,1.2246947450422532,1.3100645226845506,1.6453623262036616,2.8033497603685076,0.0,0.0,2
2015-11-21,Sociedad,Sevilla,2,0,H,14,12,7,5,7,5,15-16,0.6021439821165475,1.2296905959457403,1.7999288726312048,1.902775660891802,2.3576182492506224,1.5000762078951382,0.0,0.0,2
2015-11-22,Villarreal,Eibar,1,1,D,12,17,5,7,12,6,15-16,1.1751934833782116,0.7572693864417689,1.5441243712848651,2.127165574353503,1.7726125759962068,1.035326593168386,0.0,0.0,1
2015-11-22,Granada,Ath Bilbao,2,0,H,8,11,1,6,2,7,15-16,0.5609917187420618,1.1135328286677169,1.6500872157022135,2.4903215973174824,2.2606310013717428,0.9836745753526734,0.0,0.0,2
2015-11-22,Sp Gijon,Levante,0,3,A,13,13,2,6,5,3,15-16,1.0475029213026474,0.7818930041152267,1.3382614438855869,0.5818049416586226,0.5075615167064642,2.2048298870429646,0.0,0.0,0
2015-11-22,Betis,Ath Madrid,0,1,A,6,11,3,4,2,6,15-16,1.5532354485258009,1.0815593828854004,1.2742298768819118,2.2531626276482246,1.2691324154515744,0.5061220342427476,0.0,0.0,0
2015-11-23,Getafe,Vallecano,1,1,D,15,8,8,4,5,7,15-16,0.5523548239597625,0.9012684380768516,2.317414350793409,1.608105133025115,1.487476502565666,1.4070517705634307,0.0,0.0,1
2015-11-27,Levante,Betis,0,1,A,14,11,1,5,7,4,15-16,1.3878699611057486,1.3383743444709761,1.4698865913619765,1.0354902990172008,0.7210395885902671,1.1828199179212746,0.0,0.0,0
2015-11-28,Ath Madrid,Espanol,1,0,H,21,5,6,0,6,2,15-16,2.50210841843215,1.1794216103010497,0.3374146894951651,1.477908177953903,1.3543328422157872,1.225693915222951,0.0,0.0,2
