Player,Team,Assists,Matches Played,Coefficient,xA,Season
Mikel Merino,Sociedad,4,26,0.15,,20-21
Pablo Maffeo,Huesca,4,25,0.16,,20-21
Kang-In Lee,Valencia,4,24,0.17,,20-21
Fernando,Sevilla,4,31,0.13,,20-21
Emerson Royal,Betis,3,34,0.09,,20-21
L. Suárez,Ath Madrid,3,32,0.09,,20-21
L. Olaza,Valladolid,3,32,0.09,,20-21
Óliver Torres,Sevilla,3,33,0.09,,20-21
Kike Barja,Osasuna,3,33,0.09,,20-21
Santi Mina,Celta,3,34,0.09,,20-21
Pedri,Barcelona,3,37,0.08,,20-21
C. Clerc,Levante,3,35,0.09,,20-21
Luka Modrić,Real Madrid,3,35,0.09,,20-21
