Season,Team,Date,h_a,PPDA,OPPDA
15-16,Rayo Vallecano,2015-09-20 22:30:00,a,5.2894736842105265,6.739130434782608
15-16,Rayo Vallecano,2015-09-23 22:00:00,h,4.586206896551724,9.576923076923077
15-16,Rayo Vallecano,2015-09-26 22:30:00,a,5.628571428571429,8.538461538461538
15-16,Rayo Vallecano,2015-10-04 14:00:00,h,2.911764705882353,10.583333333333334
15-16,Rayo Vallecano,2015-10-17 22:30:00,a,8.419354838709678,10.068965517241379
15-16,Rayo Vallecano,2015-10-23 22:30:00,h,4.545454545454546,18.166666666666668
15-16,Rayo Vallecano,2015-11-01 15:00:00,a,7.384615384615385,6.275
15-16,Rayo Vallecano,2015-11-07 23:30:00,h,11.478260869565217,6.285714285714286
15-16,Rayo Vallecano,2015-11-23 23:30:00,a,3.9642857142857144,8.931034482758621
15-16,Rayo Vallecano,2015-11-29 21:15:00,h,4.56,7.7
15-16,Rayo Vallecano,2015-12-06 19:00:00,a,5.387096774193548,7.193548387096774
15-16,Rayo Vallecano,2015-12-13 15:00:00,h,6.444444444444445,5.5
15-16,Rayo Vallecano,2015-12-20 19:00:00,a,15.466666666666667,10.413793103448276
15-16,Rayo Vallecano,2015-12-30 21:15:00,h,4.633333333333334,6.0256410256410255
15-16,Rayo Vallecano,2016-01-03 15:00:00,h,7.428571428571429,4.296296296296297
15-16,Rayo Vallecano,2016-01-10 01:05:00,a,5.107142857142857,10.045454545454545
15-16,Rayo Vallecano,2016-01-17 15:00:00,a,5.526315789473684,8.4
15-16,Rayo Vallecano,2016-01-24 01:05:00,h,3.4838709677419355,5.7
15-16,Rayo Vallecano,2016-02-01 23:30:00,a,6.583333333333333,6.344827586206897
15-16,Rayo Vallecano,2016-02-06 21:15:00,h,6.7272727272727275,7.241379310344827
15-16,Rayo Vallecano,2016-02-12 23:30:00,a,5.571428571428571,13.0
15-16,Rayo Vallecano,2016-02-21 15:00:00,h,4.181818181818182,6.17948717948718
15-16,Rayo Vallecano,2016-02-27 23:30:00,a,4.206896551724138,6.743589743589744
15-16,Rayo Vallecano,2016-03-04 00:00:00,h,12.12,6.653846153846154
15-16,Rayo Vallecano,2016-03-07 23:30:00,a,3.8846153846153846,13.26923076923077
15-16,Rayo Vallecano,2016-03-13 01:05:00,h,3.6551724137931036,8.0
15-16,Rayo Vallecano,2016-03-19 21:15:00,a,5.636363636363637,13.115384615384615
15-16,Rayo Vallecano,2016-04-01 22:30:00,h,5.538461538461538,6.851851851851852
15-16,Rayo Vallecano,2016-04-10 22:30:00,a,8.4,15.35
15-16,Rayo Vallecano,2016-04-17 20:15:00,h,4.212121212121212,14.384615384615385
15-16,Rayo Vallecano,2016-04-20 22:45:00,a,8.217391304347826,5.777777777777778
15-16,Rayo Vallecano,2016-04-23 18:00:00,h,9.454545454545455,8.791666666666666
15-16,Rayo Vallecano,2016-04-30 20:15:00,a,5.115384615384615,7.153846153846154
15-16,Rayo Vallecano,2016-05-08 19:00:00,a,5.407407407407407,16.705882352941178
